Text,toxic
madarchood ye batao kharcha kitna ayga,1
gando kharcha bata de,1
tumhari gand k kitne paisay hain,1
londay bazi me lagay raho tum,1
han to bolne to de usko gando,1
kiya gand marai ha ye,1
kaat dunga tumhara,0
kia gand marai hai ya bhai,1
PMLN walo ki kuss main fire...,1
Yr gand me keera horaha hai tjhe tag krny ka to main har jagah tjhe tag karunga,1
aray BC main koi PMLN ka supporter nhe hun,1
wo sb to thk hy haha react q kia hai madarchood,1
late karta to boltay chutya bana raha hai,1
awam he chutya hai sab chutya,1
Real m daikhny m bhottt fazool ha tu,1
bohat fazool admi ha,0
"Teri aesi ki tesi, ullu ki patthi",1
Behtreen chutia lag RHA ha,1
ab koi comment ni aega is chichundar ka,1
Iski shakal pe jo pithkar hy wohi kaafi hy isko ghalat sabit krne k liye,1
Abhi aayenge tattuu bc khassii londay,1
Log nangey hongay to Inka kaam chaley ga,1
sub ka kate ga beta,0
bolnaa to banta nhi apka,0
bakwas mat kia karo yar,1
bakwas admi,1
Is moti ka kuch karo is ka jeena azab kardo,1
Ullu ki pathi,1
jaly huy kaly began m koi jal n ri jal to ap rhy ho,1
is waqt jal jal k to tum kaali hoi wi ho..,1
marr jao gi sarr sarr k,1
tu jal k maray gi,1
abay sudhar ja bhosri k,1
bhag yahan se randi,1
jata ha ya kaat dun tera,0
ap mujhay achay nahi lagtay,0
pata nhi konsi gandi jagha jata ho tm log,0
ajeeb ganday log ho,1
iski or saad ki vjha sa hua ha harami ha ye,1
randi roona shuru hogaya tha iska,1
abe chutyapy k mbl m chala rhy hoty lrkay,1
ye kia maa chudai ha pant utar deta hoon gand marlo,1
bc phr road block hongy,1
bhai tu bara madarchood ha,1
tu to gaya,0
duniya he madarchood ha,1
pehle wala to extreme chutya he,1
bht ganday ho tum,1
laonday bazi karta ha ye class me,1
londay bazi k chakar me maray jao gay,1
kya gand marae hy yay bc,1
Ye koi randi ka bacha meri id login krrha he br br,1
Bhosdi k itna faltu time nahi hai mer3 pass,1
Bachon ki gand maarnay k bd chehray par alag he sukoon hai,1
Rokne ki bajae fawaid bta rha hai madarchod,1
Bhosri wala hai tu.,1
daffa kr isay,1
fabric nehait bakwas hota hai,1
tu ha bewakuf,0
abay salay gadhay,1
mar jaye ga tu,0
teri gand bohat keeray ho rahay hai kia,1
apna kaam kar yar chutiya aurat,1
Ye khadim naam k log hotay he harami hain,1
Choot k chakkar me tmhe lore milenge beta,1
Aby ja bharwe. Chakko k peche bhag ja k,1
Chakkon ka saudagar.,1
abe badchodyan hoten bc ese,1
abe bhai yay pta nae kya hy nafsiyati hy sala,1
Chutia hai ya,1
aba chutya asa tw mra 4 mb pa show hota ha,1
FTP pe zyada hai loru,1
iska mtlb ye randi k bache chutya bnarahe hn bkl,1
Wehsi darinda ha tu,1
Agae chaati k baalon wali orat aag lagane,1
zeeshan tere Gand,1
ajeeb lund admi ha bhosri ka,1
ghus k phat jaonga,1
u kaali sasti randi,1
tum to bhag jao yahan se bhosri ka,1
Mera lora lele apne moun me.,1
Ghanta aesa kuch hoga,1
Jab class me badchodian kr rha tha. Teri hat gae thi,1
remover mar dya tha bharwy ny srf pic lyny k lyay likha,1
Bharwe mjh tu bol rha tha brackets use nar krta me,1
last me gand maregi,1
Gand wasa bhi marta han or tere tw loray bhi lg jata ha,1
Chal bc yha koi job nh dta or ya chutyap kr rha ha,1
Attitude nai ... Chutyapa kehty hain usay,1
BC ho tum bht bare babu bharwe,1
buhaat he wahiyaat shalwar h,1
atni bezti k bd kch tw shram kr,1
bhosri k pora event dkh wo book fiar ha,1
babo pori pic dal na dallay necha kya likha ha event knsa ha,1
harami insan book fiar ka event ha ya nh ya bata?,1
sai hna harami insan,1
teri trha chako ma nh 5000 ma chutya bna rha ha public ko,1
Haha beta tm jese chutyon ko hi to chutya bnata hun,1
foran lulli pakarli thi dekh kr tmne,1
mjha nh tm taha ko hi chutya bna skta ho,1
haris tmhara pass lund ha?,1
Lore ki shkl wale ainda mention ni krna mujhe is per bhosad chod,1
bhosari k kaha say pata chala,1
Nhe sahe sayy yaad karo woapp ki gaand the,1
aray pagal hai ye,1
Kuch bhosri wale apne bhasori phelani ne baaz nae aenge,1
Behncho tum alaw darje ki kutti chez ho,1
Ghair muqami log hi ye sub kartay hain karachi me akar,0
ye qoum hi choir Ha,1
Bharwon kya randi rony lagay vy hyn tm logon ny,1
Ghair maqami log hi nuqsan phncharae hn Karachi ko..,0
Mardo Inhe pakar ker,1
bhag bhosari k,1
o bhai mai ne nai kiya comment bhen chod puri dunya mai 1 hi akasha hai,1
bharwey fb per hi likho dekho tmhare kitne baap atey hain,1
bharwey dekh lo apne abu ko,1
randion wali harkaten ye kar raha ha or name ibad k ata ha,1
itne gande ho tm,1
Apna poora section harami chal raha Hai ..,1
Sb Bhenchoo harami hai aik tu hi sharif chal rha ha,1
sub k sub randi baney huey ho,1
ap bas randion wali harkaten kartay hua pakray gaye ho,1
her jagaa gandy comments naa kr,0
bohat he buray ho bhae,1
Ye adam khor hai bharwa,1
Gand to bum lag rahi hai,1
Jalado pakar ker inhe,1
Ye Randi ka bacha jahan milay pehle tango ke beech main laat marna,1
kia gand main lay rhay hoo ajj kal tm..,1
Aby oo bhosri k,1
Teri balon wali gand me aag laga dunga .,1
Or tera baap chinal .,1
Sb kutte k bache gae ab,1
tmlogon ki ganden q bnd hgian achanak?,1
Halki halki gand to tmhari bhi phatrhi hogi,1
gande gande msgs kre hounge larkion ko ab gand phatrhi he teri,1
krrhe the na badchodian aj dekhlo ab,1
choddi na maa apne randi pano k chakkr men,1
laggae mere loure kanjer insan,1
Gand m dy do inhi ki,1
Pese ni hen gand sujiwi he,1
tm dedo gand mn thk krwadunga dada,1
itna bara kharcha mn kese bharun in chote se chutyapon se m,1
gand to meri phatgaina,1
isi ki ma chudai hai,1
is ne he gand marai ha,1
gando ne phelay mobile ki screen tori thi,1
Aane de bharwe ko nanga krte hain is gando ko,1
Jaa bhai jaa charsi nashayi aaj aya tha kuch nahi bola tunay isse,1
Jb is ki Akasha or me gand mar rahe the tb tm apni jhaanto wali gand marwa rahe the,1
Lora le gando apni gand me,1
chachi ko bhi nanga karen gai abbas k sath tu tension na le,1
Jao tum dono gaand phatti ke charsi !,1
Isko ko to nanga baad me krenge.,1
Pehle is k baal jalainge haath k or seene k,0
phir bataonga tum dono bharwon ko !,1
In gher muqami begherton me Bari Zindagi azab ki he,1
chup kar randwe,1
Jaa bay bhosdike !!,1
Bharwe jharian buhat jaldi aag pakarti hai,1
Ghum hote he aag laga dounga,0
Aao na kabhi phir khushbu laga ke moti gaand wale,1
Isi gand ko tere baloon wale mun per rakh k paadonga,1
Abb jaa jakay cigg le apni gaand mein mawali,1
Cigg wale paad maaroga tere mou pe,1
Or jb hum us ki gaan mar rahe hain to tu apni gaand marwane k lie beech me Q ghusa orat,1
Bharwon ktni lambi kr rhy ho,1
tou itna gaand phatti ka hai ke .,1
Bum to meri gad men phatchuka he janab,1
Krte hain babu kuch. Randi rona mat kr,1
yeh tum sub ki gaand mai bomb pharne wala 1 hi shaks ha,1
Bs krdy .. Aastein k saanp .,1
Sai kelrhe ho tmlog bhenchodon,1
Kutia bnakr choda hoga saad aur shayan ne,1
inlogon ko Haram khane ki adat hogai hai.,1
ye Afghani siraiki jitne chor dakeit hain inhe daikhte hi goli maro,1
Bharve pata ni kaha kaha se karachi ajate hain chorian krne.,1
Shakal dekho in kanjaro ki.,1
Afghani hen manhoos,1
Phr bhi chutiye ne uper mjhe tag kia hua hai,1
Bhosri k koi londa he hoga ..,1
Itni paaden marunga na tmhare muh per sari deewangi nikaljaegi tmlogon ki bchodon,1
teray keeray ka koi haal nai ha,1
kya kaha tha fazool insan ha ye,1
bakwas hai rehny de tu,1
mujy tumhara color pasnd nae aya,0
Raza randi ka bacha he pakarlia he is bhosri wale ko,1
baap ko chutya bnaoge tm,1
wednesday ko is bhosri wale ki kut lagegi bhen ka lora,1
chal hat madarchod,1
Babu tu bht bara chutiya insan hai .,1
galazat jaha huge wahe huge beemaria,1
Mobile data use kr raha hn loru,1
bharwi mujhe 2nd floor ki lab pe bula rahi thi,1
ye har kisi ki id se usko follow karti hai randi kahin ki chinal !,1
itni gaand phatti ki hai ke,1
Aby bharwon .. Main nai hun ye,1
Kitna bara harami hai tu,1
mujh par ilzaam daal raha tha randi,1
yr bc sab mjuha hi tag krw ajeab chutyapa ha,1
Bharway tu mil phr batata hn,1
ye sirf tumhari GAND chahta ha ja k de do,1
Tmhn lund chusne k men pese dedunga bhai,1
yahi randi ka bacha iski typing se andaza lagalia,1
chutyape ki typing airf yahi krta he,1
Chal bay. Andar say poora khusra hai tu,1
Chugli lagane wale Jahannami hote hain,0
"jahannami ho sab ke sab !! Mardood, Khabees, Iblees ke Chailay !!",1
Or jo darakht k sath Gand maratay hain unko kia kehty hain ??,1
kutte ki moat maro ge tum sab,1
Ye uncle majboor ki tarah darakht me to muth nai maarta tha ??,1
Pkro is bhen ki louri ko,1
Phasi dyni chaea thujhay to,0
Ibad ki gand marni ha,1
Hy yay bht harami,1
dyna mt kse ko gand m ly ly asigmnt ko bharway,1
mustaqil CHUTIA banne pe lund ki aahh lambaiyon se Muabrak Baad paish karte hain,1
is lund ko talab hai bus teri baalon wali gaand ki,1
Beta yay chudammy mry sth mt karna gand m hath dalnga pura m,1
Han kaat lo mera lund,1
Bharwa kabhe porn sites pe number daalta hai,1
kabhe pages pe gaand marwata hai,1
Meri mrzi bhai tyri gand m kya occhal rha,1
Porn sites per jaa k gaamd marwata ha,1
Manay gando faraghat k namone,1
5 Rs wali Randi.,1
File folder gand maranay k lia ha na,1
tm jesay gandoo k lia nhe,1
Phr aunty bharwii aur Ibad randi aik sth,1
mil k gaand maari is ki.,1
Gando morning ki 11 k baad nae hongi.,1
Han teri gaand jo abhi jali hui hai,1
Lora bhe garam horaha hai. Wo bhe chk krle,1
Science ki baad me gaand marega wo,1
randi hamari lullii chotii haii lekin teri to hai hi nai,1
Gando ho tm sb k sb,1
Bc sb chodu banny hoe hain bhai,1
ibrat naak mout hogi tmhari,1
tu hai tou barwa phr bhi lega screenshot,1
"behn k loron, 200 fee hoti thi supply ki, 500 kardi",1
yehe banda tha jis ne lund kraya tha,1
Mand mand k log gand mar rahay hen,1
maine tjhe usi waqt kaha tha k ye randi kch na kch karega iska,1
Harami hogaya he,1
"duniya mars pe charh gai, tu land pe charh jaa",1
bc likhna seekh le baaad me chudaasi marna,1
Chutyapa hai yr ye,1
Juniors chutyapay k aanay walay hain .,1
Test dkh kr gand path gae ho ge,1
gand ka be chhed bara hogaya hoga test dkh kr,1
tu kitne logon ko harami panay pe laye ga,1
Poori class ko ganda krny me sbse bara hath ibad ka hai ..,0
bohat hi bara dhakhan hai yeh,0
chutiyapa krta he ye hmesha..,1
apny he depart ki gand maar rahe ho tm ..,1
Bachodi kr .. lekin gand nai maar ..,1
Gand kesi phari thi sbki ek dam hawa hgae the,1
Plan apke bhai ka bakchodi usama gando ki thi,1
Lora kradia tha isse,1
bht tait lund karaya tha,1
Muth maar don is pe,1
kanjos koi ap say gift le bhi nhi raha hai,0
Lore jese shakal wale ko tag krun?,1
mor k gand me lelo machine,1
Chod die gae,1
Registrar ki Maa ki Behen ki,1
Zain tm launde na hte to aj ghr akr tmhn apne lund se satisfy krdeta,1
Babu k jhaant me chingari lg kr aag lagay gi,1
or babu osi aag me jal kr raakh hojaye ga madarchod,1
Madarchod group k bahar nai aani chahiye ye .,1
Arey bharwon group me he rakho na kanjar,1
Dono aala number ke harami ho,1
Qadire tm me to lambe lambe lund jaenge ab bachkr rehna,1
barweee Junaid abuu ko bacha bolte sharm ni arhi,1
Madarchod ye bhe dikhao,1
Kesa randi he Ibad tou,1
Bharwe me kia xvideos ki dukan khol k betha hun kia?,1
Ganda admi .... Gandi soch,1
Chun kr tharakpan wali chezen late ho,1
Adnan chotyapy ki batyn mt kra kro,1
Is ne to tera balatkaar krdia,1
chal chal bakwas krrha he ye,1
itne gand phateeeek hai ye,1
Chutiyapy ka camera hai,1
usama tm hamesha ghatya kam r ghatya bt he krna,1
Lora lag jae ga beta,1
Bhai tm logo ko kc or ko chodna bola tha,1
bhoosri k abhi b mjha chapal mara ga?,1
dallay chutia phatu insan.,1
gand mein daam ha to laga k dikha hath ibad ko,1
Bharwa ek bande ne tere munh pe tatti ki thi tu usko to mara nhi ajj tk,1
mjha dhamki de rha ha gandu,1
tu ibad ko hath laga k dikha teri gand phar du ga,1
dalo maa chod denge dalo,1
mera lora jawab dia ha tune,1
badchodi apni jaga mgr yay zyda hogya munasib rakho bhai,1
ye chutia ha nhi maar skta,1
ye jo haris ne upper tatti ki ha na k mein to badla lunga ispe keh rha hn k ye chutia ha.,1
bharwe apne ghar me bta k jaya kr,1
isay chod nhi sake yr,1
Meri gand k to pooray cinematics bana diye tu ne,1
madarchod picnic hoe hy aj,1
sbki gand mn danday dikhae hena,1
Iski mein maa chodo ga bhenchod ye university ae gando,1
oye randi ka bacha over tu karaey ga or batting b tu kare ga maachuda waha pe ja k,1
Nihayat beghairat bane ve thay tm,1
Oye itni sari badchodi sirf ye isi saal ki hy?,1
Usama ki gaand maarni hai tour pay,1
Sahi bakchodi di ha,1
Han to phir gaand mardunga,1
bhai ki bachodi dekhi printer wali,1
haramkhor meri gand kahan se leae bich men tm,1
osama ny apni gand nae di is m,1
Sabse baraa chutya khud hai ye totla,1
Ye sab tou thek hai lekin choot kahan se lao ge ?,1
Launde bazon ko surakh se matlab hota he,1
gandoo marrjjaa tuu..,1
Gand marne ka credit,1
gand phatto he zrdri,1
kaminon kutte ki mout maron tmlog,1
aby choot to nai hai babu k pass ?,1
Abe bhen k loron nind mn tha bht gehri,1
Babo bhai tatte moun me rakh k so rahe the,1
Harami log ho tm log bharwon,1
Gand me bawaseer dor gaya teenon ki,1
tatto main ball daal iske,1
main hota to wicket utha ker iski gand main ghusa daina,1
Lund lelo phr mera,1
jisne bhi ye pic li hai woh koi bara penchod howega,1
intehai ghatia baat ki hai,1
ye chutiye ye harkaten kar rhy ajeeb,1
Mullay mere lund say,1
Bechari ko nangi ho kr ghumney ki talab ho rahi ha,1
ye march me narra bhe lagaye gi nangi ho kr,1
Tumhari soch Gandi hai,0
LAAK LANAT aisy logo per,1
khud rapists hain yeh,1
jahil log hain buhat,1
abay meri muth ka bhi kuch standard ha sasti randi...,1
askari park ki chinal ko ghumane wale,1
bhosri k tu to bohat sharif ha madarchood,1
tu he apni hawas puri kar raha hota tha randi,1
chinal se hawas pori krenge,1
Customer service par kuttay bithay hain,1
Bhooki and bagirat,1
bhosdi k gand marde ga wo,1
ye chek kar yar bharway ne kia kia ha?,1
bhosri k ye ha kai?,1
bhosri k aik kaam bola ha wo dekh lay,1
saeed ne bula lia na gand phat jaye gi,1
baat sun bharway,1
hn bol gando,1
nikla bhosri k,1
sai gand mari ha usne bhi,1
abay bharway pouch raha hoon,1
han theek ha phir gand marao,1
ab to treat kra de gando,1
gand lall hui ha tbn ko galiyan de rha hun abi me,1
han bhai hum hi madarchod han jo pheli bari me pass huay,1
acha randi rona band karo time nikal k ao,1
ab cha raha hoga bhosri k larkay akay meray uthain,1
Bharwa ha game khela ha isne,1
abhi aik list phir dega chutiyon ki tarha,1
chutiyap me random chalaye hain,1
project kia gand marane gaya,1
ibad randi ke 87,1
han theek ha gand mara,1
abay bhosri k pic kahan ha?,1
han mera cigar pee bharway,1
madarchood 100 liye tha sub se,1
Internship mere lund par,1
han theek ha phir lund pe charo,1
gand se pagal hogaya haye,1
Maangi thi mera chutya kaat dia,1
bhosri k number to hargiz mat dio,1
abay kia bachodi ha yar,1
gando sub leja tu underwear bhi le ja tu,1
naam nae arha hai bharwe naam bta,1
Kuch to laa gando,1
abay bhosri ka kia pura ghar utha k lay aon,1
gala kaat donga madarchood agar meri jaga nai hui,1
To bharwa kal paise leana,1
To gando dekh k chalaya kro.,1
Hi roof ki gaand me ghus gae tm bhe,1
abay yahi bakwas nai kar sakta,1
Bharwe tm log kab chale gae do dary,1
bharway paisay kha gaya ab tatti na ho thujhay 2 haftay tak,1
sb bhosri walay hain,1
Baqi gaand tw jbse ayen hain lagi hi pari hai...,1
kisi Madarchod ki baton main a kr bs...,1
Or kio bhot hi Randi hai jisne ye Marwai hai hamare saat..,1
Ajeeb lund howa wa hai dimag...,1
khud ki gaand phati tw saale ne hamare ko gara diya,1
Tere ko kia lgta hai kn ye ma chudai kr sakta hai...,1
sai madarchood bharay hain class me,1
pata nai kn gandu hai,1
bund me chara le bhosri k,1
sae gand maarte hein sab tera betay ki,1
gando k bachay tu kia haha react kar raha ha bhosri k,1
teray to taatay phatengay bharwayy,1
han to chutiye jo pouch k aya hoon wohi bata raha hoon thujhay,1
Abay Meri to gand phat gai ha adha project bana tha .,1
abay bhosri k semester cell se ja k lay,1
Gandu assgmnt to do shaista wala,1
gandu time legi,1
lore lg gae,1
Sary log asy halky kutty ki trha mere pe bhonk rhy hn jese koi bra jurm kr liya ho,1
chaha farid ne gand mardi ha yar,1
agr ye kutty ki bachi president ban gai to mere khayal me sb mardo ki lulliyan cutwa degi ye,1
yaar abb yeh chutiyapa k mera jism meri merzi bc kyaa haii,1
Nanga ghumnaa hai,1
Kutti bhonk rah hai bhonkne doh,1
iski gand mein danda de dengy wo log,1
bendchod londa toh ye kacha kha jaye halat dekho,1
Aur hamari gand marega,1
tension is waja se horahi ha 2 din hogaye hain tatti na a rahi,1
Ye Sach me Barawa Hy,1
kamiina hay sala,1
Lakh De lanaat tere asy bhai hone pr,1
Is kutty k bachy kutty ko pkar k 100 baar phansi deni chaye....,1
Lanat ho tujh py tu hy harami,1
behn chod phr apni behn ko kisi kothay py ja k betha phr us ka jism us ki marzi,1
Lanat tum par,1
Lanat is bande pr,1
Ajj pehli bar chalta phirta haram ka Jana dekha ha,1
Lanat ho app sab par,1
Yen janwar sowar ka pidawar ha,1
Lanat Teri per Tera khandan per,1
Lakh d laanat lanti begherat,1
Laaant es kuti k bchy p,1
Ya paka kanjar ha,1
shami sub se bara harami,1
Lanat asi sooch per..,1
gandu mjha chahia har hall mein,1
yeh chutiyapa kon kare ga,1
har group mein ek loru zaroor hota ha wo kara ga,1
hamare group se yeh chutiyapa kon kare ga,1
loru mat bolo warna umer nahi kare ga,1
Mera Laura Bhosri Ke,1
abb niklo sab bhosri walon,1
Chup babu bharwe,1
Tu bhi chup kar bhosri k,1
bad mein randi roona mat krna,1
Abe chutya admi date ko gand me ghusa apni,1
Jo pucha ha wo BTA bhosdi k,1
Teri PM wese he chutia hai,1
Lora ziada ainge sab k pe random no chala ga.,1
Bhai ap gand sa pagal ho Kya?,1
bhai ki gand mein kharish hui or ye project rakhwa lea.,1
apni gand khi or jaka khuja liya kro yha pa nh,1
loru dekh or kuch seekh is sa.,1
bharwa teri tangain khull jati hein jab koi kaam boldo tjha to,1
chutie chup hojaaa,1
koi bhen ka lora mujhay msg kar k na pouchay,1
Sirf tu hi chutia ha,1
run time pe hi krn ge loru.,1
loray ki bhujiya khaayi hai ?,1
loru sai sa samjha,1
gand khol k mat dekh aankhe khol k dekh,1
Bsdk reply krdy gandu,1
ye le gand k andhe,1
video he ni daali owais ne Nikal LAurey..,1
aby ja bharwa,1
Yar ap bacho ko gaali de rahe ho bhen k lorey,1
cutiya he rehna poori umer,1
nangay ho k nacho gando,1
Ye Kia bawasir dal dio ho,1
agr ye mid ke topics Han to final me gand se gobara phulane ke liye denge,1
Subject ka name bhe likhtay hain k kis cheez ki outline hai chutya aurat,1
aray lund hai ashbal,1
mushkil hoti hai islia ashbal lund hai,1
gandu hai zain,1
bc to pehle hi download krke rakho na isliye tum gandu ho,1
yr sharam kro aese kisi ko Lund nhi kehte,1
baby ki chut buhat sensitive tum usko Lund keh rhe ho,1
chutia sir farhan ki ha ab mat puchio dubara,1
print de mjha chutia,1
uper chutia chachi ki alag badchoddi chal rai hote he,1
Ee ka bawaseer dal deay ho,1
Yeh hai hi madarchod,1
laptop wala chutyapa to nae hai aj?,1
bharwa fb messenger dekh le,1
bhosri k saray he CR banay huay hain,1
peeli tatti.. baap nhe bana karo na lagwadia loray,1
loraaaaaay laaaaag gaeeee heeein teeereeee bhi,1
Yr ya quiz ka Kya chutyapa ha sir ko bol seedha paper Len,1
Yr TM log beghairat ho,1
kch krna ha tw Zain ki gand Maro,1
Maro isko nanga krka,1
"babu bharwe, tere waja se loray lag gae",1
Chooti Luli walay ko bta do koi.,1
ye bohat bara ullu ka patha ha.,1
abay ha bhai isko kch bhi boldo foran gand ka soorakh band hojata ha iska,1
Nhe to kia jaffar ki gand say nikal k du kia BC,1
bari koi gandi aulad ha tere,1
Zain to chutia ha bhookne do usa.,1
Zain loro ha,1
